,side_effect,n_instance,auprc,auroc,ap
0,2.0,2720.0,0.8082011326066679,0.8395261244118912,0.8095723231889643
1,4.0,5183.0,0.804880252255326,0.841346491043499,0.8053508920364019
2,5.0,2762.0,0.781467175326725,0.8174233898891966,0.7823697579348443
3,6.0,3552.0,0.7596970281048077,0.7897916666666668,0.7604167679085188
4,7.0,1942.0,0.7942438230844672,0.8396757657634909,0.7964942689751126
5,8.0,2051.0,0.7895277133064303,0.8287119113573408,0.7931733778087748
6,9.0,704.0,0.7517717565696925,0.7825853265251276,0.7554131952367479
7,11.0,1010.0,0.7666721499734735,0.8521070341291459,0.7760364556973303
8,12.0,2347.0,0.774518204030544,0.8171615895974871,0.7761523999879731
9,13.0,2120.0,0.8078121593590866,0.8413230399408284,0.8089221041371559
10,14.0,1509.0,0.7587260461061298,0.8258106516213033,0.7648596994176395
11,15.0,2758.0,0.7603514116452937,0.7998486103203767,0.7613111307419831
12,16.0,3113.0,0.7468004228632241,0.7757127996331137,0.7477109301123617
13,17.0,2937.0,0.6960658005765663,0.7530895369552104,0.6979780443186113
14,18.0,1843.0,0.7585700532677349,0.8159950328473001,0.7630793184198422
15,19.0,3069.0,0.7223268390970027,0.7706801470588236,0.7243190960088934
16,20.0,305.0,0.906938384457919,0.9073469387755102,0.9084089818280895
17,22.0,4613.0,0.7380318818297602,0.7933172796557342,0.7392053799241032
18,23.0,1004.0,0.810576580390381,0.8530170879316482,0.8167198045277391
19,24.0,3442.0,0.7656519403478581,0.8161650332769509,0.7670533148074692
20,25.0,3021.0,0.7666939111554374,0.8062230528855662,0.7676998829240194
21,26.0,2976.0,0.7390628615586194,0.7720467473161352,0.7414486446088353
22,27.0,2037.0,0.759636487722626,0.8153005746089824,0.7637882811113649
23,28.0,2691.0,0.7407544478539462,0.7981942190974101,0.7437766142470891
24,29.0,6368.0,0.7192917611883184,0.7655167482976022,0.7200859607675663
25,30.0,1225.0,0.7702726378458541,0.827857142857143,0.7734828831152023
26,31.0,1979.0,0.7954577691912388,0.8471580733339618,0.7987918937719891
27,32.0,3416.0,0.7596026850884942,0.8052413161625709,0.7608862256231486
28,33.0,1287.0,0.8824391453316767,0.8927054637281909,0.8830336795737244
29,35.0,1499.0,0.8019396487713104,0.8354353407504167,0.80380386147855
30,36.0,2491.0,0.824628231583747,0.8545095511930729,0.827160001440719
31,38.0,356.0,0.908819926733009,0.9038888888888889,0.9104533225676632
32,39.0,1309.0,0.8577918842924571,0.8846076323568932,0.859037116181058
33,40.0,1213.0,0.8002258723332897,0.8197959710743802,0.802155210671346
34,41.0,512.0,0.8852891371105225,0.8898891966759002,0.8870580529384482
35,42.0,456.0,0.8253790164029398,0.8817274305555556,0.8376675003275573
36,43.0,2478.0,0.7398246543508079,0.7922626094044131,0.7430838312740158
37,44.0,3558.0,0.7576379025337533,0.803234011627907,0.758536434042676
38,45.0,1983.0,0.8033567592908217,0.8556327160493827,0.8074084160179376
39,46.0,446.0,0.8529423855393139,0.8718518518518519,0.8566182780628633
40,47.0,811.0,0.8024920557565524,0.8470597660631308,0.8104764488666985
41,48.0,2016.0,0.8215862785696892,0.8433554491755549,0.8224279599943757
42,49.0,1867.0,0.7877519549872237,0.8071739992072929,0.7887875720155633
43,50.0,2082.0,0.815282617175425,0.8634631726104,0.8167792665126743
44,51.0,6922.0,0.7400141212799641,0.792662315727189,0.7413372883336937
45,52.0,1991.0,0.7856362813110684,0.8211624999999999,0.7867418691506789
46,53.0,2853.0,0.773712726899378,0.7977545877078558,0.7745303856072461
47,54.0,1768.0,0.7681371026557925,0.8072686529478602,0.7719982746074125
48,56.0,2493.0,0.7920658808377454,0.8373150887573965,0.7934294763092529
49,57.0,457.0,0.8887621773562981,0.8999269539810081,0.8911993819941291
50,58.0,3566.0,0.7528150317127627,0.8174211465978972,0.7550850422011597
51,59.0,5479.0,0.7520005464592046,0.7993575731626705,0.7530638486446151
52,60.0,4529.0,0.745356056436338,0.7926567685897888,0.74617437157081
53,61.0,1625.0,0.7694156335646218,0.8093216363295178,0.7719449008510931
54,62.0,2787.0,0.7341684705256115,0.7747749260951358,0.7372224368370514
55,63.0,795.0,0.8408591668664028,0.8526733007252487,0.8423913414560276
56,64.0,2534.0,0.757141543852983,0.8158318729153712,0.7601414610596929
57,65.0,1432.0,0.7922862705516878,0.8282284591396472,0.7966203127911865
58,66.0,3567.0,0.7215348190064632,0.7710195024755464,0.7227616013986466
59,67.0,1576.0,0.7820904237979138,0.8163461176559147,0.7834716720557235
60,68.0,5315.0,0.7543979100321332,0.797390593167576,0.7551255222796336
61,69.0,1933.0,0.8093717658242294,0.835832876497768,0.8121835430683174
62,70.0,4689.0,0.7325948403195826,0.7796808318939563,0.7337818104565274
63,71.0,1865.0,0.8256874477755659,0.8497993827160494,0.8271406284029406
64,72.0,2164.0,0.7932506724361137,0.8435537190082645,0.7948990552005205
65,73.0,2711.0,0.7457005129749906,0.7960356404958677,0.7471443058121288
66,74.0,5869.0,0.7478583179475178,0.78373312,0.7491586482596638
67,75.0,2820.0,0.738575389872556,0.7925749768793765,0.7400428628049156
68,76.0,2569.0,0.7513773404348749,0.7992501602540213,0.7544361322265541
69,77.0,1889.0,0.8316696535208028,0.8368718086535878,0.8323870408995885
70,78.0,4563.0,0.7124358420792795,0.7766304829522925,0.71370387711757
71,79.0,3882.0,0.7879630072001458,0.8171360304974631,0.7885690981748132
72,80.0,3446.0,0.7925148804759723,0.8301870803202479,0.7933397805731567
73,81.0,3051.0,0.7922755909492141,0.8381669431744786,0.7932225008032994
74,82.0,4062.0,0.7648356188681559,0.803095887543178,0.7657256550646698
75,83.0,5175.0,0.7204752280778814,0.7700378330865716,0.7214920552825491
76,84.0,1222.0,0.8608050187504832,0.887816365612546,0.8649525775932291
77,85.0,3255.0,0.729154095616899,0.768174804204152,0.7306484590011821
78,86.0,1866.0,0.783124961144273,0.8273933402705516,0.7867746800069206
79,87.0,1335.0,0.8434227484571811,0.8564971383975026,0.8444138193691952
80,88.0,3758.0,0.7930241273298837,0.8219088501706066,0.7937210473238658
81,89.0,576.0,0.8858466920913461,0.8941798941798943,0.8873229910707927
82,90.0,861.0,0.8497531985583567,0.8826453925309284,0.8516670547376757
83,91.0,1095.0,0.8585246675743392,0.8926859504132232,0.8611322401663617
84,92.0,463.0,0.782418988541571,0.8089990817263545,0.7871192517107812
85,93.0,1480.0,0.8817913261239189,0.8978698224852072,0.8829683252385492
86,94.0,3256.0,0.7522710172670974,0.7998466708674649,0.7547257315358056
87,95.0,557.0,0.840194553312653,0.8493055555555555,0.8421092305643101
88,96.0,1136.0,0.8180186349750636,0.8577693761814745,0.8205231821509071
89,97.0,1694.0,0.7344106271181683,0.7774695923734386,0.7364640302605497
90,98.0,1973.0,0.8126096763140949,0.8507040097949188,0.8139535340894598
91,99.0,371.0,0.8753471466577677,0.8695987654320987,0.8774023593528434
92,100.0,2490.0,0.7967872142386486,0.8365379479784223,0.7997618935273563
93,101.0,2003.0,0.7407327620642213,0.7916971793641574,0.7429743937391717
94,102.0,2101.0,0.73222441297486,0.8063165813293213,0.7344856510862285
95,103.0,480.0,0.8591200146521648,0.8965824136703453,0.8621477935175905
96,104.0,6025.0,0.7465833255135602,0.7934499729444201,0.747199998180878
97,105.0,433.0,0.8362430583240391,0.8635552913198573,0.8391442724893358
98,106.0,537.0,0.9397859664147046,0.9390625,0.9407365398105301
99,107.0,2211.0,0.7794854753880789,0.8174426020408163,0.7811749180872318
100,108.0,2187.0,0.8157798024605774,0.846048190175237,0.8174172820447415
101,109.0,2176.0,0.7720567252329766,0.8007860553366277,0.7734285383733536
102,110.0,254.0,0.8700107187587309,0.88375,0.8740696997142767
103,111.0,864.0,0.8253966889071064,0.854318418314256,0.8318626607196464
104,112.0,2620.0,0.78649183515728,0.8275127551020408,0.7877357545817925
105,113.0,1699.0,0.7768016545461689,0.7901352757544224,0.7779449061424446
106,114.0,1729.0,0.8481876862627018,0.884386158017665,0.8496187416724957
107,115.0,1776.0,0.8367727114198635,0.8805374684783017,0.8384330988821573
108,116.0,927.0,0.8452707694591635,0.8728841145833334,0.8481304561059536
109,117.0,1327.0,0.8313577880447125,0.8781988986070619,0.8337855968320721
110,118.0,1762.0,0.784291762033598,0.830133390311651,0.7859766301413518
111,119.0,724.0,0.8507191630903661,0.8801652892561984,0.8529123530739695
112,120.0,3597.0,0.7521111610200263,0.7971542842644338,0.7534666830003356
113,121.0,504.0,0.8827626914244491,0.8826530612244898,0.8844536527502509
114,122.0,5185.0,0.7552906868612794,0.796648731423534,0.7559611166350266
115,123.0,948.0,0.8313453809054936,0.8607954545454546,0.8337693214979722
116,124.0,917.0,0.7819280986998292,0.845620293301625,0.7866258828550213
117,125.0,412.0,0.8908850439981356,0.8986545138888888,0.8924318269195443
118,126.0,661.0,0.8281812500861405,0.8642102846648301,0.8322636541493331
119,127.0,6017.0,0.7319448816787595,0.77840851892037,0.7334035569791156
120,128.0,1898.0,0.8140818408648264,0.8610341643582641,0.8158128528766296
121,129.0,224.0,0.8292558043541377,0.8800000000000001,0.8375918701597861
122,130.0,5548.0,0.7204630130381389,0.7749360879904875,0.7211616821403707
123,131.0,3160.0,0.7568153735915352,0.8091012003930111,0.7593379878130899
124,132.0,1762.0,0.7594376660082403,0.7975425905895078,0.7639754027955363
125,133.0,1774.0,0.7800008257964889,0.8226997245179064,0.7846778162565412
126,134.0,4270.0,0.7612044856714084,0.8203352442895487,0.7634331323568425
127,135.0,846.0,0.8697731959934334,0.8902785289345593,0.8712180075089535
128,136.0,2155.0,0.7680678522043665,0.8222498647917794,0.7695374402051008
129,137.0,3831.0,0.7646212483926164,0.8047998619985768,0.765796681001844
130,138.0,1090.0,0.8461124876669265,0.8781932902431516,0.8480112209592254
131,139.0,537.0,0.8974426582329815,0.9151106004021832,0.898966734842684
132,140.0,1661.0,0.7822604211887895,0.8180030556813037,0.7835988490066346
133,141.0,3567.0,0.8052348713214492,0.836557423592514,0.8058592924954687
134,142.0,2967.0,0.7127031816760674,0.7830913109166053,0.7159972447625075
135,143.0,4679.0,0.7792116308083138,0.8254009813111028,0.7802417538108608
136,144.0,1501.0,0.781929858598548,0.8311838016639379,0.7861642303831982
137,145.0,700.0,0.7793302712641752,0.8105570944906125,0.7837449278383761
138,146.0,1301.0,0.7908845978866836,0.8272950077255048,0.7928648334333264
139,147.0,298.0,0.9159729965930502,0.9194444444444445,0.9178760907819796
140,148.0,1753.0,0.8435926724309248,0.8613439697133586,0.8443784770225014
141,150.0,1365.0,0.7955377586039929,0.8459584527941251,0.8001095973178971
