,side_effect,n_instance,auprc,auroc,ap
0,2.0,2720.0,0.8327730913870507,0.861616859336105,0.8334297966626096
1,4.0,5183.0,0.8040674652873064,0.8419514230806995,0.8047144145686678
2,5.0,2762.0,0.789790142380493,0.8272052458448753,0.7921376098256852
3,6.0,3552.0,0.776811235988338,0.8110609567901234,0.7779194345628067
4,7.0,1942.0,0.8230235486468855,0.8481730259336886,0.8240166677139983
5,8.0,2051.0,0.8142268214127092,0.831578947368421,0.8150952618335447
6,9.0,704.0,0.7914593054347123,0.8265251276538566,0.7956938852613769
7,11.0,1010.0,0.8377281341793689,0.8715750680980612,0.8450973671225896
8,12.0,2347.0,0.7969120538267463,0.8440901453721966,0.7999560541463048
9,13.0,2120.0,0.8321392283126003,0.8540010170118343,0.8331611525473377
10,14.0,1509.0,0.781540033328541,0.8426126852253705,0.7839698654182127
11,15.0,2758.0,0.7815920321388933,0.8244073805703638,0.7844241476783196
12,16.0,3113.0,0.7353166433671738,0.7682967752038568,0.7365491919449036
13,17.0,2937.0,0.7156587600617559,0.782343699588997,0.7187727770658353
14,18.0,1843.0,0.8142645727772155,0.8529081877904182,0.815894635361258
15,19.0,3069.0,0.76086474081825,0.7956787954152249,0.7619070202801805
16,20.0,305.0,0.9251998160133948,0.9338775510204081,0.9265850733579926
17,22.0,4613.0,0.7776442473148657,0.8154246013392588,0.7785173452531482
18,23.0,1004.0,0.8152390938808348,0.8759789960840156,0.8190528672093976
19,24.0,3442.0,0.786931980032458,0.8311460360904046,0.7877781248042219
20,25.0,3021.0,0.7673825501409566,0.7985690835014438,0.7680883869031543
21,26.0,2976.0,0.730970590114068,0.7818158147732734,0.7337222496090197
22,27.0,2037.0,0.7759404947457469,0.8241902651446829,0.7797213325582556
23,28.0,2691.0,0.7679552078057503,0.8176191334655369,0.7708019310090706
24,29.0,6368.0,0.7303883648863583,0.7802876105624676,0.731165338056916
25,30.0,1225.0,0.7872199588316162,0.8274489795918367,0.7898237164067197
26,31.0,1979.0,0.788653401577822,0.8424686586860213,0.7922366795515937
27,32.0,3416.0,0.7518352118170643,0.7984183010396976,0.7528961562838721
28,33.0,1287.0,0.867971736687118,0.8986455463728191,0.8690790999015212
29,35.0,1499.0,0.7968266818871785,0.8483852078735192,0.8016113482378366
30,36.0,2491.0,0.8029911625189696,0.858648952343182,0.8061387463385283
31,38.0,356.0,0.9375970663254746,0.9377777777777778,0.9387491642536384
32,39.0,1309.0,0.8587594262260314,0.8802741198602526,0.8597392281137627
33,40.0,1213.0,0.8390483031732174,0.8481404958677686,0.8403096087623334
34,41.0,512.0,0.8817166058410795,0.9175900277008311,0.8870822726572518
35,42.0,456.0,0.8352745690988825,0.8680555555555556,0.838672128624893
36,43.0,2478.0,0.7645908336844404,0.8108249723456693,0.7656813192333808
37,44.0,3558.0,0.743158842416221,0.7943440711195241,0.7457374979287765
38,45.0,1983.0,0.8222285852729327,0.866388888888889,0.8238859168132792
39,46.0,446.0,0.9004831677349528,0.894567901234568,0.9016588503586916
40,47.0,811.0,0.8491609898281659,0.86324307002083,0.8505250227238709
41,48.0,2016.0,0.8138150370583526,0.8507740544777582,0.8150171339960445
42,49.0,1867.0,0.7928241570346624,0.8207986523979389,0.793906309578724
43,50.0,2082.0,0.8218270631919298,0.863778405197226,0.823120494600121
44,51.0,6922.0,0.7576104519238736,0.8053519425781966,0.7588813601006614
45,52.0,1991.0,0.7848103051175132,0.8376499999999999,0.7868164474972834
46,53.0,2853.0,0.7548645356861017,0.8023517939235825,0.7577834814511698
47,54.0,1768.0,0.8023950158423409,0.8549583385936119,0.806584910748317
48,56.0,2493.0,0.7977594578561663,0.8309171597633136,0.7985307002051807
49,57.0,457.0,0.8967571144463653,0.9145361577794011,0.898938422761923
50,58.0,3566.0,0.767842140474389,0.8224915691331085,0.7702615781446139
51,59.0,5479.0,0.7803136497935059,0.8257259930292652,0.7810884918551045
52,60.0,4529.0,0.7523338299564821,0.7987739213332391,0.75329029758612
53,61.0,1625.0,0.7604633832796845,0.8141536873709889,0.7652433405405507
54,62.0,2787.0,0.7230981300202186,0.7746909432948133,0.7265279277800434
55,63.0,795.0,0.8604690939968287,0.8756957328385899,0.8618280868570422
56,64.0,2534.0,0.800995023175607,0.8313499915201538,0.8019449403558785
57,65.0,1432.0,0.8014631816971327,0.8348284847708147,0.8056710691195942
58,66.0,3567.0,0.7332126907645116,0.7964164955923198,0.7348552437026687
59,67.0,1576.0,0.8051610892703486,0.8435206443599684,0.8066964473309455
60,68.0,5315.0,0.7521897974366712,0.8034747882596954,0.7530291714287436
61,69.0,1933.0,0.7996646481727816,0.8425092019735296,0.8009776765332963
62,70.0,4689.0,0.7539185566688849,0.7964457277973357,0.754727348316607
63,71.0,1865.0,0.7878849756506295,0.837962962962963,0.790290628900604
64,72.0,2164.0,0.7797742376698416,0.8303615702479339,0.7816540309858333
65,73.0,2711.0,0.7121455537668945,0.783753730486685,0.7151826884563086
66,74.0,5869.0,0.7217546185621746,0.7833376000000001,0.7232938617853439
67,75.0,2820.0,0.7501225120783426,0.7958852629879185,0.7511314059475503
68,76.0,2569.0,0.7666064057361875,0.8199266558339918,0.7698030406580868
69,77.0,1889.0,0.8146303805380202,0.8436501537818388,0.8156731248510449
70,78.0,4563.0,0.7197906855579684,0.7882926169362173,0.7215544011617859
71,79.0,3882.0,0.7939647275811323,0.8261631184729791,0.7945212664567931
72,80.0,3446.0,0.810753084459577,0.8392747611053719,0.8113449932447669
73,81.0,3051.0,0.8087342051705713,0.8497612745532606,0.8098398015756784
74,82.0,4062.0,0.7521550497728352,0.8003097119002027,0.7541763574700382
75,83.0,5175.0,0.7368412854505287,0.7823369283677963,0.7375408000314622
76,84.0,1222.0,0.8343757835347178,0.8734019978261995,0.8358114437738307
77,85.0,3255.0,0.7588380572044658,0.794392523364486,0.7599883244646957
78,86.0,1866.0,0.7977599021940469,0.836642964504567,0.7989453601603114
79,87.0,1335.0,0.8472324490784329,0.8668379292403746,0.8484100063633665
80,88.0,3758.0,0.7825162798137478,0.8256317619408349,0.7844854724231692
81,89.0,576.0,0.8849628529632549,0.8931720836482742,0.886426699422896
82,90.0,861.0,0.833266538331286,0.888888888888889,0.8362405350165771
83,91.0,1095.0,0.8684981136894495,0.9018181818181819,0.8699744542177615
84,92.0,463.0,0.7695030175477965,0.8282828282828283,0.7876926475870693
85,93.0,1480.0,0.8221193230315286,0.8591715976331361,0.8233805526085928
86,94.0,3256.0,0.7820669319306215,0.8105881117412309,0.7826479745445192
87,95.0,557.0,0.8268424315997339,0.8513888888888889,0.8292569159953112
88,96.0,1136.0,0.8423892052850119,0.8800000000000001,0.8449684890654208
89,97.0,1694.0,0.7515004446763771,0.7903928336620645,0.7540096012425557
90,98.0,1973.0,0.8231112601785178,0.8683170084685237,0.8245078268103034
91,99.0,371.0,0.8854503803840998,0.8699845679012347,0.8870226659909841
92,100.0,2490.0,0.8191309943669882,0.8490003382648793,0.8204389127875689
93,101.0,2003.0,0.7110019135072393,0.7815837983889296,0.7137916304202813
94,102.0,2101.0,0.7969824599850117,0.8461865126550026,0.7983038581803857
95,103.0,480.0,0.8721285065968052,0.9058383766464935,0.8752921814308767
96,104.0,6025.0,0.7745721570397959,0.8093354634234328,0.7750678397121833
97,105.0,433.0,0.881402269839887,0.896551724137931,0.8829368114492133
98,106.0,537.0,0.9341408153493467,0.9228124999999999,0.9349305130417057
99,107.0,2211.0,0.7918394466149503,0.8354392538265306,0.7951945836624392
100,108.0,2187.0,0.8304027465416367,0.8605555156564206,0.8311852943784496
101,109.0,2176.0,0.7994716296746518,0.8289235003440294,0.8005183314456492
102,110.0,254.0,0.8748884372163015,0.88375,0.8796306609590364
103,111.0,864.0,0.8574064783272373,0.8602728639149034,0.8585203774970868
104,112.0,2620.0,0.7900311097511665,0.8374553571428571,0.7913446789495231
105,113.0,1699.0,0.8183477971978181,0.8190218522372529,0.8191940506540345
106,114.0,1729.0,0.87998231307082,0.9015141346076405,0.8805460671367519
107,115.0,1776.0,0.8465627149817105,0.8880838571267267,0.8478055379773837
108,116.0,927.0,0.8727646176854876,0.8873155381944444,0.873759397018709
109,117.0,1327.0,0.8290007843477135,0.864408348373363,0.8304155040538381
110,118.0,1762.0,0.7948920644256103,0.8378102011538109,0.7970929067140962
111,119.0,724.0,0.8572953944342938,0.8864058019902176,0.8603994304543667
112,120.0,3597.0,0.7494731351055262,0.8046491597059472,0.7508710384887698
113,121.0,504.0,0.8419178615669881,0.8687641723356009,0.8463004821448148
114,122.0,5185.0,0.7472741033356868,0.7971332109784965,0.7481501731559723
115,123.0,948.0,0.8607882163313635,0.8812629132231404,0.8628758547741322
