,side_effect,n_instance,auprc-0,auprc-1,auprc-2
0,2.0,2720.0,0.8090327174475136,0.8423007797169322,0.8420564896724636
1,4.0,5183.0,0.7917741624878619,0.8236045825914524,0.8244140424170048
2,5.0,2762.0,0.7556648532590688,0.7882013945277551,0.7900348256771964
3,6.0,3552.0,0.7482136165994661,0.78142601801896,0.781572897848718
4,7.0,1942.0,0.7876444007996943,0.8211527925704518,0.8229845847960926
5,8.0,2051.0,0.7771600085197159,0.8049686571554435,0.8049238630175166
6,9.0,704.0,0.772742412312463,0.8098642124373511,0.8114422293840553
7,11.0,1010.0,0.797275043985368,0.8306280815189563,0.8324664250701153
8,12.0,2347.0,0.7792600381799444,0.8106500144162282,0.8113606661039383
9,13.0,2120.0,0.80821223999091,0.8301200375385507,0.831145108500668
10,14.0,1509.0,0.7867178817547827,0.8192686065943627,0.8203734255091759
11,15.0,2758.0,0.7748929875183923,0.8011761487137438,0.801354793345951
12,16.0,3113.0,0.7365325639743517,0.7660981637035521,0.7671317896420036
13,17.0,2937.0,0.753439724807903,0.7801343016648066,0.7812233677115256
14,18.0,1843.0,0.811664333518556,0.8352242638843714,0.8358545456622961
15,19.0,3069.0,0.7376290973857593,0.7652912460590809,0.7655142266383567
16,20.0,305.0,0.7957147292662846,0.8545369193564732,0.8555695976548311
17,22.0,4613.0,0.7584681013281953,0.7912823486326275,0.7919477335351515
18,23.0,1004.0,0.8115482506369419,0.8461799893469089,0.845641417328503
19,24.0,3442.0,0.7689113358017103,0.7997420454446635,0.7998706841520155
20,25.0,3021.0,0.7831535862771648,0.822904749337079,0.8231156377620678
21,26.0,2976.0,0.7426804456293343,0.7729197929065107,0.7739103328068325
22,27.0,2037.0,0.7913070969876576,0.8168707885587421,0.8163496634613447
23,28.0,2691.0,0.7749383392833703,0.8071868261351132,0.8086770077894753
24,29.0,6368.0,0.7474639598342251,0.773905708728051,0.7741251182912445
25,30.0,1225.0,0.7817734447479842,0.8142899919420852,0.8165185915339734
26,31.0,1979.0,0.7801905275196318,0.825847256689829,0.826492097248413
27,32.0,3416.0,0.7675484876516127,0.7927764894962223,0.79394724792657
28,33.0,1287.0,0.8012810192701592,0.8464320283019624,0.8459238046113815
29,35.0,1499.0,0.7988481163879937,0.8284916082556539,0.8307346011722041
30,36.0,2491.0,0.8158629539072905,0.8488170433342718,0.8489740323138311
31,38.0,356.0,0.887840470860518,0.9208153773068318,0.9207530030360529
32,39.0,1309.0,0.8335074295162718,0.8724171932886606,0.8728284427542039
33,40.0,1213.0,0.8034170018740215,0.8340134561812788,0.8339147773015948
34,41.0,512.0,0.8744664918835168,0.8954144777185439,0.8961186535946384
35,42.0,456.0,0.8166395587679183,0.8443693756466201,0.8447338315120436
36,43.0,2478.0,0.7763196856262695,0.8127849712949652,0.8136638199136763
37,44.0,3558.0,0.7619952628717044,0.7961498233366964,0.7978229212782051
38,45.0,1983.0,0.8011935969115567,0.8346743016392455,0.8357253659811877
39,46.0,446.0,0.8319001911272094,0.8534815461412215,0.8525050450745312
40,47.0,811.0,0.8200994399074826,0.8573809499520041,0.8570482867492483
41,48.0,2016.0,0.791571558911975,0.8251077173148387,0.8264173579123744
42,49.0,1867.0,0.7706682814842102,0.8034986472389816,0.8041756685814877
43,50.0,2082.0,0.8113170402032548,0.8479153284137829,0.8474994588565984
44,51.0,6922.0,0.7546345103004553,0.7812882074556848,0.7821190195419049
45,52.0,1991.0,0.7765157510615612,0.8060818231960589,0.8066608077500261
46,53.0,2853.0,0.7726085713719055,0.8039910236954093,0.8041104112875519
47,54.0,1768.0,0.7847678307392011,0.8143147217912674,0.8156081958643102
48,56.0,2493.0,0.7922406726817757,0.8304485086998795,0.8309602483891019
49,57.0,457.0,0.8275337075548234,0.8529721830851971,0.8540582310708714
50,58.0,3566.0,0.749507486486491,0.7779571213665645,0.7775331595511389
51,59.0,5479.0,0.7653178675294423,0.7993370514617035,0.800458252076883
52,60.0,4529.0,0.7500272001028618,0.7770861165565757,0.7778225984712196
53,61.0,1625.0,0.7526812857952395,0.7973343116569009,0.7960577830394906
54,62.0,2787.0,0.7274838936876099,0.7532105878102184,0.753763890527932
55,63.0,795.0,0.8179481088301205,0.8599185987031286,0.8601947362985646
56,64.0,2534.0,0.7558099057948212,0.7793677798747483,0.7801433702817316
57,65.0,1432.0,0.7782605045424795,0.8008908467381388,0.8011138844218256
58,66.0,3567.0,0.7446466215483554,0.7729369431490587,0.7724132552822963
59,67.0,1576.0,0.8118186531961756,0.8490074224392893,0.8483741389284669
60,68.0,5315.0,0.7622104485004618,0.7896165069328799,0.790593721855833
61,69.0,1933.0,0.8111576721478626,0.8379617498612028,0.8376577950900678
62,70.0,4689.0,0.752104292607121,0.7839937899804252,0.7854899678607918
63,71.0,1865.0,0.7934915778584501,0.8312946129777338,0.8312505007842708
64,72.0,2164.0,0.8200463119105298,0.8489407238170047,0.8491274474776154
