,side_effect,n_instance,auprc-0,auprc-1,auprc-2
0,2.0,2720.0,0.7804569975084421,0.8091951000499644,0.812651416190722
1,4.0,5183.0,0.7729590847468998,0.8043013028276071,0.8055048291967559
2,5.0,2762.0,0.7531653984017324,0.7793586563327876,0.7833923625252558
3,6.0,3552.0,0.7301547307109222,0.7583917840618977,0.7602071848751271
4,7.0,1942.0,0.7663252188554435,0.7907309036435599,0.7956846419741129
5,8.0,2051.0,0.7369912605345408,0.791446191041133,0.7918237752154839
6,9.0,704.0,0.7394232698999418,0.7527314835266045,0.7538257902316573
7,11.0,1010.0,0.728187061475942,0.7652188996602224,0.7646064152786869
8,12.0,2347.0,0.7371566561456857,0.774715756499708,0.779743441514182
9,13.0,2120.0,0.7928279632055463,0.8065825912891165,0.810376560083643
10,14.0,1509.0,0.7430750428278696,0.7533414112937882,0.7569733566775921
11,15.0,2758.0,0.733003433637682,0.7568200563361791,0.7617674544133667
12,16.0,3113.0,0.7255678628919207,0.7435885625819333,0.7460816377556784
13,17.0,2937.0,0.6718863969217018,0.6943524650726509,0.6947802562911579
14,18.0,1843.0,0.7516398769681453,0.7650982453554479,0.7633200769757037
15,19.0,3069.0,0.6858614004816561,0.721630684554207,0.722865713287834
16,20.0,305.0,0.8687035245654652,0.9058202129274747,0.903861901199702
17,22.0,4613.0,0.7152774136308637,0.7403431545028674,0.7398423556690896
18,23.0,1004.0,0.7801618767889518,0.8047016535114466,0.808448669570477
19,24.0,3442.0,0.7480257108745796,0.7665777054255648,0.7698790746119222
20,25.0,3021.0,0.7384884141017364,0.7648846553772195,0.7671344074133868
21,26.0,2976.0,0.7100300217694928,0.7367172491620276,0.7369309134704736
22,27.0,2037.0,0.7314171648435543,0.7547252449964956,0.7571641079697062
23,28.0,2691.0,0.7323829467019116,0.7402143521951895,0.7417633569441786
24,29.0,6368.0,0.6875800888414755,0.7178133002611691,0.7190987767295924
25,30.0,1225.0,0.7223381779867742,0.7682363554118457,0.768351199423166
26,31.0,1979.0,0.7641976712950276,0.7947111919658908,0.7973261549461854
27,32.0,3416.0,0.7383842509441643,0.7601683646309069,0.7612043682846616
28,33.0,1287.0,0.8412227334563517,0.8816620347057822,0.8831202624410235
29,35.0,1499.0,0.7699074195128329,0.8052828063385676,0.8030831599757603
30,36.0,2491.0,0.8169109359667843,0.8279351014959624,0.8256208363696116
31,38.0,356.0,0.8761068057765631,0.9032176901569453,0.9298104634042159
32,39.0,1309.0,0.8394319293496564,0.8590879077445956,0.8591326735924587
33,40.0,1213.0,0.7884897402264689,0.798936768268184,0.8062306115270359
34,41.0,512.0,0.8831136989224001,0.8855919105715757,0.8838778798576029
35,42.0,456.0,0.8059910349530056,0.8244999128072518,0.8234466837551528
36,43.0,2478.0,0.7165240321300719,0.7419480574403623,0.7412786862055359
37,44.0,3558.0,0.7452350591559,0.762659690355763,0.7610407104675441
38,45.0,1983.0,0.7572266866732893,0.7972930507316691,0.7988651334193444
39,46.0,446.0,0.8392084225523028,0.8513332406600456,0.8545252133130368
40,47.0,811.0,0.7567190141429423,0.8255697904449493,0.8023674618165978
41,48.0,2016.0,0.8036131489837725,0.8195414952873746,0.8238962577477469
42,49.0,1867.0,0.7575876209191169,0.786749112859874,0.7903777491906275
43,50.0,2082.0,0.7809015723042267,0.8135196058994427,0.8194034713310925
44,51.0,6922.0,0.7342827867835628,0.7389204281887214,0.7413718420940165
45,52.0,1991.0,0.7643287163885318,0.7876108414270376,0.7899107624578023
46,53.0,2853.0,0.7550881702115615,0.7727630730899732,0.7767831496940635
47,54.0,1768.0,0.7294125569120316,0.765335283176008,0.7675300071080289
48,56.0,2493.0,0.7706661947171823,0.7953503359815468,0.7917363078414212
49,57.0,457.0,0.8936383232358536,0.8912190950048751,0.8916348669211591
50,58.0,3566.0,0.7370798868262409,0.7504332273702626,0.7510509808774847
51,59.0,5479.0,0.7348085250058388,0.7527383998887698,0.7524312740906731
52,60.0,4529.0,0.7385353773927479,0.745958094164824,0.7487910117352055
