,side_effect,n_instance,auprc,auroc,ap
0,2.0,2720.0,0.8507966044112405,0.8970011338607305,0.8522606213340355
1,4.0,5183.0,0.848814257595224,0.8855731599545511,0.8500985679919018
2,5.0,2762.0,0.8226510780022767,0.8707096173822715,0.8233126616766172
3,6.0,3552.0,0.8062450416853749,0.8546836419753086,0.8071052485371775
4,7.0,1942.0,0.8412043672663583,0.8814550137622787,0.8423149324292523
5,8.0,2051.0,0.8154612275441396,0.8594459833795015,0.8173235553911471
6,9.0,704.0,0.842362145234441,0.8822897070679925,0.8450486544870652
7,11.0,1010.0,0.8238472263223202,0.8936067937830475,0.8285720683216935
8,12.0,2347.0,0.8439993073734833,0.8908064869603332,0.8468772706106693
9,13.0,2120.0,0.7938539905029631,0.8680773853550297,0.7975560014591809
10,14.0,1509.0,0.7880505080875877,0.8749767499534999,0.7917814532653479
11,15.0,2758.0,0.8108613015730644,0.8563544847575177,0.8119058879745311
12,16.0,3113.0,0.7808849170336234,0.8294594020201116,0.7819420545559825
13,17.0,2937.0,0.7846785999726383,0.8452776725722061,0.7853930470872309
14,18.0,1843.0,0.8508955319837005,0.8873778240666559,0.8521662405546506
15,19.0,3069.0,0.8224743469279049,0.8528668360726643,0.8230548955095067
16,20.0,305.0,0.9578831805902281,0.9514285714285714,0.9584268612048255
17,22.0,4613.0,0.7790571663043501,0.8546195378953931,0.7807781682980472
18,23.0,1004.0,0.8916051020013895,0.9222588109647561,0.8927538244519104
19,24.0,3442.0,0.8334499942949329,0.874002328961572,0.8342515039364272
20,25.0,3021.0,0.8048930849173562,0.8710147937186029,0.8073260431045642
21,26.0,2976.0,0.8058129545596933,0.8445811969235698,0.8065949384292587
22,27.0,2037.0,0.8075761510467196,0.8752866603107526,0.8095361583169216
23,28.0,2691.0,0.8281096350949341,0.8769004266570519,0.8294510559300399
24,29.0,6368.0,0.7817206502912998,0.8369788137449147,0.7831780031516897
25,30.0,1225.0,0.8424377783408541,0.8743877551020408,0.8436214610009829
26,31.0,1979.0,0.8705926503568346,0.8952775944952399,0.8712018160378354
27,32.0,3416.0,0.8134717886296602,0.8583190571833649,0.8140790040713854
28,33.0,1287.0,0.9126499997525848,0.9347738751147843,0.9133182148172287
29,35.0,1499.0,0.8379020270780619,0.8957254177739742,0.840402776065347
30,36.0,2491.0,0.8397701606376113,0.8836671293542204,0.8405612769428745
31,38.0,356.0,0.9557833889614671,0.9561111111111111,0.9565622355969329
32,39.0,1309.0,0.9075193955073798,0.9269685568395593,0.9081260350632886
33,40.0,1213.0,0.8683765124431041,0.8823605371900827,0.8697272135892322
34,41.0,512.0,0.882088519306135,0.9134349030470914,0.885546194977806
35,42.0,456.0,0.9415265026864404,0.9375,0.9421493996410616
36,43.0,2478.0,0.8089735101623517,0.8574200935395602,0.8100938317976805
37,44.0,3558.0,0.8070409022488623,0.8559947944835046,0.8083254573326377
38,45.0,1983.0,0.8715187644896244,0.9135185185185185,0.8719367477944263
39,46.0,446.0,0.9053564636136767,0.9150617283950617,0.9067216128781086
40,47.0,811.0,0.8773167233620562,0.8932062169524115,0.8785572189313458
41,48.0,2016.0,0.8626043856774837,0.8995688810503625,0.8635828513068833
42,49.0,1867.0,0.8352902440540967,0.8618707887435594,0.8361632349539314
43,50.0,2082.0,0.8711304251107547,0.9024149557303801,0.8717615688586784
44,51.0,6922.0,0.7989929798492262,0.8495227728849334,0.8001359719249186
45,52.0,1991.0,0.7816584090121841,0.8614875000000001,0.7854896712878428
46,53.0,2853.0,0.775876941221291,0.8467534605691417,0.777699141054683
47,54.0,1768.0,0.8304641731641658,0.8684509531624794,0.8313552622489975
48,56.0,2493.0,0.8467450153927853,0.8925517751479289,0.8475401653900416
49,57.0,457.0,0.8781860114943738,0.9262235208181154,0.8848004962913771
50,58.0,3566.0,0.8239568072025993,0.8704185677444951,0.8258500754734148
51,59.0,5479.0,0.7986969264954873,0.8584670392404302,0.7998198630445023
52,60.0,4529.0,0.7740018844235389,0.8390672445448768,0.775553618659302
53,61.0,1625.0,0.80081366232064,0.8604803903171326,0.8057395945097154
54,62.0,2787.0,0.7779339086035586,0.8390637597420049,0.7796164350315935
55,63.0,795.0,0.8855014806627963,0.9094282341035588,0.8872837656548799
56,64.0,2534.0,0.8079379829768316,0.8642729945163661,0.8106167069165924
57,65.0,1432.0,0.8478525019225746,0.8686616258703918,0.8485990509496311
58,66.0,3567.0,0.7784574445010273,0.8400744173409009,0.7794012873303062
59,67.0,1576.0,0.815669948806343,0.8749670668824571,0.81990077192297
60,68.0,5315.0,0.775191445119275,0.8487516624238785,0.7770285054410767
61,69.0,1933.0,0.8362485165318441,0.8861892082387031,0.8392715889736031
62,70.0,4689.0,0.7965791312320055,0.8435968601804605,0.7971014524180009
63,71.0,1865.0,0.851879557736557,0.8874382716049384,0.8538064167511786
64,72.0,2164.0,0.8409002081034359,0.8948037190082645,0.8424021326209942
65,73.0,2711.0,0.7921216665725767,0.8496326905417814,0.793732756248385
66,74.0,5869.0,0.7966875234826452,0.8430278399999999,0.7970959097958852
67,75.0,2820.0,0.7795019396898443,0.8322617107793486,0.7806213738492402
68,76.0,2569.0,0.8161884522037681,0.8719756712034703,0.8190857961980094
69,77.0,1889.0,0.8769668114214155,0.894607184448625,0.8775577865757768
70,78.0,4563.0,0.7791388640408546,0.8369097210884038,0.7799003328362732
71,79.0,3882.0,0.8120460405932175,0.8556639104405488,0.8126269928774502
72,80.0,3446.0,0.8488243658497843,0.8844145467458678,0.8492756960652756
73,81.0,3051.0,0.8321964999289528,0.894669520396145,0.8348268153097658
74,82.0,4062.0,0.8043669596037002,0.8472929455879908,0.8060880243740235
75,83.0,5175.0,0.7932373888521125,0.8473917896854707,0.7938858176042827
76,84.0,1222.0,0.9085247183455416,0.9343460483411832,0.9095222609428868
77,85.0,3255.0,0.7872452067436522,0.8472792383614289,0.7887797882646947
78,86.0,1866.0,0.8052882264036231,0.8671956295525495,0.8072816121366118
79,87.0,1335.0,0.8631815237879811,0.888592611862643,0.8677847079307078
80,88.0,3758.0,0.8311336514245841,0.8778949685656753,0.8318163745924484
81,89.0,576.0,0.9024484402404287,0.908793146888385,0.9033572885024774
82,90.0,861.0,0.9159891364631866,0.929587235518557,0.9166426557067207
83,91.0,1095.0,0.9284824083835406,0.9509504132231404,0.9293099418479929
84,92.0,463.0,0.8285267192535382,0.869605142332415,0.8331945339168991
85,93.0,1480.0,0.9151943579499737,0.9275147928994083,0.9156571998148393
86,94.0,3256.0,0.8009768256258512,0.8565280403276623,0.8019271869432257
87,95.0,557.0,0.8243810833633372,0.8658333333333333,0.8289251645603988
88,96.0,1136.0,0.8970095137126641,0.9172022684310018,0.8978825447176865
89,97.0,1694.0,0.7959676124944121,0.8422296186719265,0.79822595080039
90,98.0,1973.0,0.852084603107374,0.904384756657484,0.8541029037289198
91,99.0,371.0,0.9163662592050202,0.9151234567901234,0.9175960941589326
92,100.0,2490.0,0.8607700309548891,0.8923694564617495,0.8616220294712887
93,101.0,2003.0,0.8067111764213019,0.8540188379081336,0.8082157504875795
94,102.0,2101.0,0.8171371633384937,0.865539081268655,0.818510278646112
95,103.0,480.0,0.9403278123501619,0.9467782128871485,0.9410666703439216
96,104.0,6025.0,0.7941983571844887,0.848858798503211,0.7937297811172688
97,105.0,433.0,0.871972145949743,0.9094827586206897,0.8749263748602736
98,106.0,537.0,0.9360314451970932,0.9403125,0.9370801379319396
99,107.0,2211.0,0.8477764611716017,0.8841577646683674,0.8475720090674789
100,108.0,2187.0,0.9013201546486678,0.9198326630278655,0.9017693752098281
101,109.0,2176.0,0.8564403407867032,0.8864077062613372,0.8572280508701762
102,110.0,254.0,0.9670312475286043,0.96125,0.9677450316169829
103,111.0,864.0,0.8766822717417178,0.8828766331367788,0.8776418711030881
104,112.0,2620.0,0.8250988741288867,0.8797576530612246,0.8263026963628369
105,113.0,1699.0,0.8236090387262831,0.8594172736732569,0.8276002999484615
106,114.0,1729.0,0.8815265082536767,0.9088431904212194,0.8821123753698191
107,115.0,1776.0,0.8610054615596753,0.9162369678949152,0.8626727010828453
108,116.0,927.0,0.8749998415467881,0.9138997395833334,0.8770962573897663
109,117.0,1327.0,0.8812387052644917,0.9117728724142719,0.8823561836251657
110,118.0,1762.0,0.8393207279640068,0.889960623912579,0.8429367983884615
111,119.0,724.0,0.8908849591293005,0.9283184348119413,0.8981977021220003
112,120.0,3597.0,0.8207864048721697,0.868340577823181,0.8215664258159747
113,121.0,504.0,0.8784798521266224,0.8979591836734694,0.883293789816536
114,122.0,5185.0,0.7954443668483169,0.8467553169256257,0.796928751029023
115,123.0,948.0,0.8698850938975324,0.9056689049586777,0.8718149977569354
116,124.0,917.0,0.8301729813265327,0.8754128682785044,0.8366692938957309
117,125.0,412.0,0.9541008324634196,0.9535590277777777,0.9546113785900824
118,126.0,661.0,0.8789053372414902,0.9093204775022957,0.8813932976537755
119,127.0,6017.0,0.7817143212457708,0.8383393362490352,0.7825771424182147
120,128.0,1898.0,0.8381077192682509,0.8793132929790363,0.8394183758176493
121,129.0,224.0,0.909549916267247,0.9633333333333334,0.9261969966126083
122,130.0,5548.0,0.7717931784146908,0.8317969678953624,0.7720368169049784
123,131.0,3160.0,0.8335487630433864,0.8747063095390663,0.8341851415959478
124,132.0,1762.0,0.8161534206545278,0.8732084910762573,0.8204228601456591
125,133.0,1774.0,0.8662542134961078,0.8923232323232323,0.8671080143108199
126,134.0,4270.0,0.8265077406516057,0.8766835444551382,0.8275833521430894
127,135.0,846.0,0.9054987472381815,0.9174891833423472,0.9038448873973175
128,136.0,2155.0,0.8453014311014687,0.8920605732828556,0.846517592281973
129,137.0,3831.0,0.7974235244131621,0.8420458710980457,0.7981661087607514
130,138.0,1090.0,0.913808683339861,0.9357879347491536,0.9147868728672157
131,139.0,537.0,0.9231248870695273,0.9370870439528871,0.9242761403553454
132,140.0,1661.0,0.8664359321462434,0.8865012449071978,0.8670120765102263
133,141.0,3567.0,0.8331366343887657,0.8818264132411506,0.8338914865946192
134,142.0,2967.0,0.7787610126047624,0.8440672252119515,0.7802770093374977
135,143.0,4679.0,0.8419124262280842,0.8877854520890825,0.8436142197456742
136,144.0,1501.0,0.8410967874002543,0.8870493501286377,0.8431832607287669
137,145.0,700.0,0.8446901171456217,0.8782702369959988,0.8475643860517235
138,146.0,1301.0,0.8506365005186689,0.8837178325963024,0.8520328095892171
139,147.0,298.0,0.9495658981833327,0.945,0.9503667449580937
140,148.0,1753.0,0.886773570216978,0.9079654542996214,0.8863477903599284
141,150.0,1365.0,0.8459323401928361,0.8828278255620945,0.8473459124298515
142,151.0,989.0,0.8328214184610037,0.8728693181818181,0.8363479245055904
143,153.0,2198.0,0.8711610627758845,0.9024878312601406,0.8718033130702462
144,154.0,3873.0,0.812963857652946,0.8596193771626297,0.813188314384798
145,155.0,261.0,0.9488792923270801,0.962962962962963,0.9506227901294121
146,156.0,2054.0,0.8721304624811665,0.8991030291147927,0.873071906702219
147,157.0,400.0,0.911157727926655,0.9403122130394858,0.9137567169423024
148,158.0,2401.0,0.8586757167734582,0.8906920415224913,0.8596180358815084
149,159.0,1209.0,0.8740117745186653,0.9149358298716597,0.8760068725801675
